"datetime","campaign","channel","gender","age","country_code","count","theta_sid","theta_uid","hll_sid","hll_uid"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","18-25","FR","2","AQMDAAA6zJP/wvIkkSxsdg==","AQMDAAA6zJM4PiGD5l5fCQ==","AgEHDAMIAQD/heUF","AgEHDAMIAQBrLCIE"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","18-25","ID","4","AQMDAAA6zJOLNTR3C5zLIw==","AQMDAAA6zJOolVf/+uPBcw==","AgEHDAMIAQAXa2gK","AgEHDAMIAQDvTjwI"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","18-25","IN","4","AQMDAAA6zJM0lGjwGhVrHw==","AQMDAAA6zJP9w03p3YyiFg==","AgEHDAMIAQBpKNEE","AgEHDAMIAQCYRHsK"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","18-25","RU","4","AQMDAAA6zJOx8uhKPM+1Xg==","AQMDAAA6zJPQTSApc7pWVg==","AgEHDAMIAQBi5dEF","AgEHDAMIAQD5030T"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","18-25","SE","3","AQMDAAA6zJN0NNfdQiFjJg==","AQMDAAA6zJNEiPAQO5frGw==","AgEHDAMIAQDoaK4H","AgEHDAMIAQAZoqYJ"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","AT","4","AQMDAAA6zJOlbG7AMwokQQ==","AQMDAAA6zJMwtUemBCY1Aw==","AgEHDAMIAQBK2dwE","AgEHDAMIAQC3wTER"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","AU","4","AgMDAAAazJMCAAAAAACAP+ey6KAWaaAbmxcqUQQjuGQ=","AgMDAAAazJMCAAAAAACAP6+6putFRDMnCXBTj7CU8jU=","AgEHDAMIAgDPZdEFNy9UBg==","AgEHDAMIAgDWMIoFz4+qBw=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","BE","1","AQMDAAA6zJNagqO8hrT9eQ==","AQMDAAA6zJO9FDgDcOd9Iw==","AgEHDAMIAQC1BEcF","AgEHDAMIAQA7EjsP"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","BR","6","AgMDAAAazJMEAAAAAACAP2DN6kuC5GECQTUSjZqW3ANuY5S+8iFKJ8+9kqjNoagz","AgMDAAAazJMEAAAAAACAPywMr6YSjAAJaNs4IEXY+Amttgzb1zfXI0eURXHN2k8s","AgEHDAMIBACfeyUN3MYoEcGa1R+DaiQi","AgEHDAMIBACyt4cEW1YZCF09/huUa5sF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","CA","3","AQMDAAA6zJM0RQ1F/vtTJw==","AQMDAAA6zJN7yfz7rVESdQ==","AgEHDAMIAQBpihoO","AgEHDAMIAQA2yC4I"
